"ES_F01" "ES_G01" "ES_H01" "ES_A02" "ES_B02" "ES_C02" "ES_D02" "ES_E02" "ES_F02" "ES_G02" "ES_H02" "ES_A03" "ES_B03" "ES_C03" "ES_D03" "ES_E03" "ES_F03" "ES_G03" "ES_H03" "ES_A04" "ES_B04" "ES_C04" "ES_D04" "ES_E04" "ES_F04" "ES_G04" "ES_H04" "ES_A05" "ES_B05" "ES_C05" "ES_D05" "ES_E05" "ES_F05" "ES_G05" "ES_H05" "ES_A06" "ES_B06" "ES_C06" "ES_D06" "ES_E06" "ES_F06" "ES_G06" "ES_H06" "MEF_A07" "MEF_B07" "MEF_C07" "MEF_D07" "MEF_E07" "MEF_F07" "MEF_G07" "MEF_H07" "MEF_A08" "MEF_B08" "MEF_C08" "MEF_D08" "MEF_E08" "MEF_F08" "MEF_H08" "MEF_A09" "MEF_B09" "MEF_C09" "MEF_D09" "MEF_E09" "MEF_F09" "MEF_G09" "MEF_H09" "MEF_A10" "MEF_B10" "MEF_D10" "MEF_E10" "MEF_F10" "MEF_G10" "MEF_H10" "MEF_A11" "MEF_B11" "MEF_C11" "MEF_D11" "MEF_E11" "MEF_F11" "MEF_G11" "MEF_H11" "MEF_A12" "MEF_B12" "MEF_C12" "MEF_D12"
"Tor1aip2" 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 17 28 0 0 0 0 0 1 6 0 7 0 2 7 177 3 0 5 0 0 22 1 0 1 17 0 47 38 557 20 114 0 0 14 22 331 56 141 1446 123 171 0 886 67 12 74 60 160 3 273 210 64 146 212 237 0 13 27 160 0 0 118 1 127 250 180 156 68 76 161
"Pnkd" 13 0 0 0 2 0 0 17 0 45 0 0 4 0 0 0 4 16 0 1 0 0 0 0 0 0 0 16 0 0 40 0 50 0 0 20 11 0 0 30 0 23 0 12 0 11 0 0 48 21 17 15 0 136 112 18 0 25 0 0 0 93 0 0 0 39 0 0 0 10 0 0 0 56 188 0 0 0 0 0 43 31 168 0 57
"Smyd3" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 43 10 0 1 0 38 0 0 0 0 0 87 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 49 28 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 0 0 0 22 0 0 0 0 0 31 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0
"Eef1b2" 53 47 16 958 3033 1306 402 134 1166 742 967 107 499 780 1156 3150 828 1841 749 2135 256 1749 8 899 22 497 14 2841 571 738 664 343 1373 1320 352 621 419 459 29 924 3 2306 604 2570 594 2212 1043 224 2105 1575 594 724 2057 567 3416 5359 337 1259 2661 404 1401 1524 2082 4801 1222 2121 1339 231 1403 1390 355 339 211 2034 693 95 1404 208 428 2606 426 1586 1912 884 4978
"Rrp15" 0 0 0 0 4 0 0 44 0 0 0 14 0 0 2 2 0 0 0 0 3 1 0 0 0 20 0 0 0 30 0 1 5 7 0 19 0 0 0 9 0 0 0 17 0 38 0 0 38 0 3 0 0 0 58 59 0 0 0 4 49 25 53 0 15 14 0 0 159 36 0 0 0 163 0 0 0 0 5 58 0 20 0 16 0
"Tmem183a" 0 0 0 0 0 0 16 0 0 0 0 0 0 0 24 0 7 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 30 40 16 0 48 0 0 27 6 23 4 26 25 67 288 0 0 122 0 51 46 7 19 0 24 0 0 64 118 4 0 0 22 0 7 18 3 2 50 50 28 126 137 53
"Gigyf2" 2 0 0 8 9 4 0 0 0 0 0 0 0 0 1 32 0 8 0 20 21 14 0 0 1 0 6 87 0 32 0 0 7 0 0 7 0 0 0 48 0 9 0 136 12 4 145 0 666 609 0 202 31 9 116 0 0 67 592 0 2 44 172 102 74 48 23 5 0 49 0 0 0 0 0 0 152 0 0 21 1 88 2 48 175
"Cnih4" 4 0 0 0 62 55 91 26 1 19 0 0 0 0 53 34 95 0 0 14 0 0 1 0 0 24 0 72 1 21 17 0 38 0 38 0 0 0 0 12 0 31 0 11 11 31 0 0 24 603 26 30 28 73 82 4 0 43 26 2 0 60 190 73 10 0 22 18 291 15 0 0 0 81 0 0 0 0 21 5 1 106 66 78 25
"Cyb5r1" 11 4 0 0 1 0 0 0 0 1 1 0 0 6 82 90 5 1 0 0 0 0 0 40 0 0 0 1 8 1 0 0 0 0 0 0 0 0 0 0 0 1 26 29 0 34 50 0 19 39 92 124 87 21 49 92 3 0 127 1 88 37 56 14 30 0 0 60 59 40 35 0 23 12 26 0 18 0 74 104 4 0 192 53 197
"Cr1l" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 52 59 0 0 0 0 104 0 0 0 0 0 0 0 0 0 0 40 0 121 0 0 26 85 57 26 0 0 172 0 0 0 0 0 0 0 10 0 0 6
