"gene_short_name" "biotype" "num_cells_expressed" "use_for_ordering"
"ENSG00000000003.10" "TSPAN6" "protein_coding" 231 FALSE
"ENSG00000000005.5" "TNMD" "protein_coding" 0 FALSE
"ENSG00000000419.8" "DPM1" "protein_coding" 275 FALSE
"ENSG00000000457.8" "SCYL3" "protein_coding" 24 FALSE
"ENSG00000000460.12" "C1orf112" "protein_coding" 78 TRUE
"ENSG00000000938.8" "FGR" "protein_coding" 0 FALSE
"ENSG00000000971.11" "CFH" "protein_coding" 252 FALSE
"ENSG00000001036.8" "FUCA2" "protein_coding" 238 FALSE
"ENSG00000001084.6" "GCLC" "protein_coding" 64 FALSE
"ENSG00000001167.10" "NFYA" "protein_coding" 124 FALSE
"ENSG00000001460.13" "STPG1" "protein_coding" 32 FALSE
"ENSG00000001461.12" "NIPAL3" "protein_coding" 132 FALSE
"ENSG00000001497.12" "LAS1L" "protein_coding" 132 FALSE
"ENSG00000001561.6" "ENPP4" "protein_coding" 45 FALSE
"ENSG00000001617.7" "SEMA3F" "protein_coding" 4 FALSE
"ENSG00000001626.9" "CFTR" "protein_coding" 0 FALSE
"ENSG00000001629.5" "ANKIB1" "protein_coding" 207 FALSE
"ENSG00000001630.11" "CYP51A1" "protein_coding" 331 TRUE
"ENSG00000001631.10" "KRIT1" "protein_coding" 178 FALSE
"ENSG00000002016.11" "RAD52" "protein_coding" 236 FALSE
"ENSG00000002079.8" "MYH16" "pseudogene" 0 FALSE
"ENSG00000002330.9" "BAD" "protein_coding" 130 FALSE
"ENSG00000002549.7" "LAP3" "protein_coding" 274 FALSE
"ENSG00000002586.13" "CD99" "protein_coding" 0 FALSE
"ENSG00000002587.5" "HS3ST1" "protein_coding" 0 FALSE
"ENSG00000002726.15" "ABP1" "protein_coding" 0 FALSE
"ENSG00000002745.8" "WNT16" "protein_coding" 4 FALSE
"ENSG00000002746.9" "HECW1" "protein_coding" 0 FALSE
"ENSG00000002822.11" "MAD1L1" "protein_coding" 84 FALSE
"ENSG00000002834.13" "LASP1" "protein_coding" 216 FALSE
"ENSG00000002919.10" "SNX11" "protein_coding" 81 FALSE
"ENSG00000002933.3" "TMEM176A" "protein_coding" 1 FALSE
"ENSG00000003056.3" "M6PR" "protein_coding" 283 FALSE
"ENSG00000003096.9" "KLHL13" "protein_coding" 4 FALSE
"ENSG00000003137.4" "CYP26B1" "protein_coding" 6 FALSE
"ENSG00000003147.13" "ICA1" "protein_coding" 2 FALSE
