"Library" "Well" "Hours" "Media" "Mapped.Fragments" "Pseudotime" "State"
"T0_CT_A01" "SCC10013_A01" "A01" "0" "GM" 1958074 23.9166725860202 "1"
"T0_CT_A03" "SCC10013_A03" "A03" "0" "GM" 1930722 9.02226494387829 "1"
"T0_CT_A05" "SCC10013_A05" "A05" "0" "GM" 1452623 7.54660771708083 "1"
"T0_CT_A06" "SCC10013_A06" "A06" "0" "GM" 2566325 21.4639475155749 "1"
"T0_CT_A07" "SCC10013_A07" "A07" "0" "GM" 2383438 11.2998064030924 "1"
"T0_CT_A08" "SCC10013_A08" "A08" "0" "GM" 1472238 67.4360419415267 "2"
"T0_CT_A10" "SCC10013_A10" "A10" "0" "GM" 2003588 12.2824300655502 "1"
"T0_CT_A11" "SCC10013_A11" "A11" "0" "GM" 3705423 35.625019261672 "1"
"T0_CT_B01" "SCC10013_B01" "B01" "0" "GM" 3281907 39.4137265029284 "1"
"T0_CT_B03" "SCC10013_B03" "B03" "0" "GM" 1557086 17.2005256558707 "1"
"T0_CT_B05" "SCC10013_B05" "B05" "0" "GM" 1535410 30.9246574848024 "1"
"T0_CT_B07" "SCC10013_B07" "B07" "0" "GM" 1979475 29.4933514185942 "1"
"T0_CT_B08" "SCC10013_B08" "B08" "0" "GM" 1566056 14.840388110821 "1"
"T0_CT_B09" "SCC10013_B09" "B09" "0" "GM" 2166036 8.33648712254145 "1"
"T0_CT_C02" "SCC10013_C02" "C02" "0" "GM" 1250883 14.4941402165735 "1"
"T0_CT_C03" "SCC10013_C03" "C03" "0" "GM" 2301617 52.452796670656 "2"
"T0_CT_C05" "SCC10013_C05" "C05" "0" "GM" 2998735 32.3022404420952 "1"
"T0_CT_C06" "SCC10013_C06" "C06" "0" "GM" 2760945 40.9667664329569 "1"
"T0_CT_C07" "SCC10013_C07" "C07" "0" "GM" 2615122 24.2848267423609 "1"
"T0_CT_C08" "SCC10013_C08" "C08" "0" "GM" 1997103 9.08911862679169 "1"
