lb	mle	ub	ce	Z	cZ
Tdh	-8.46905227894927	-6.72775181038026	-4.98645134181124	-4.98645134181124	-7.1608466438477	-6.02323056397388
r_LTRIS2	-8.98352741739011	-7.55882703401547	-5.97582660804364	-5.97582660804364	-7.1608466438477	-6.02323056397388
Pou5f1	-7.44010200206757	-5.89667658674504	-4.39282618207181	-4.39282618207181	-7.1608086898456	-6.02323056397388
Dppa5a	-9.81460264102532	-8.27117722570279	-6.80690183167885	-6.80690183167885	-7.1608086898456	-6.02323056397388
r_RLTRETN_Mm	-9.69587760907743	-8.27117722570279	-6.76732682102955	-6.76732682102955	-7.1608086898456	-6.02323056397388
Ifitm1	-7.87542711920981	-6.09455163999153	-4.43240119272111	-4.43240119272111	-7.16073281277289	-6.02323056397388
r_LTRIS3	-7.51925202336617	-5.85710157609575	-4.15537611817603	-4.15537611817603	-7.14794732916309	-6.02323056397388
r_MMETn-int	-7.9941521511577	-6.45072673583517	-4.43240119272111	-4.43240119272111	-7.13258810387639	-6.02323056397388
Apoe	-7.67755206596336	-5.81752656544645	-4.03665108622817	-4.03665108622817	-7.11334344404504	-6.01968646671034
Gapdh	-6.41115172518588	-4.98645134181124	-3.64090097973519	-3.64090097973519	-6.95682261510373	-5.85282993917707
Gm13242	-6.80690183167885	-5.26347641635632	-3.64090097973519	-3.64090097973519	-6.76609921498923	-5.64310361435242
Trh	-7.87542711920981	-6.05497662934223	-4.11580110752673	-4.11580110752673	-6.74179929503226	-5.62922247782703
Bex1	-6.49030174648447	-4.78857628856478	-3.32430089454081	-3.32430089454081	-6.68602327814782	-5.57682691131179
RNA_SPIKE_3	-5.18432639505772	-3.95750106492957	-2.77025074545069	-2.77025074545069	-6.52802074613779	-5.40145698418139
RNA_SPIKE_5	-8.98352741739011	-6.52987675713377	-4.31367616077322	-4.31367616077322	-6.35030317654929	-5.20033303201477
Tdgf1	-6.52987675713377	-4.82815129921405	-3.16600085194365	-3.16600085194365	-6.20113511920423	-5.03155881719823
Tcfcp2l1	-7.75670208726192	-5.69880153349856	-3.24515087324224	-3.24515087324224	-6.18894943167069	-5.02834875898669
Mybl2	-6.21327667193942	-4.43240119272111	-2.88897577739858	-2.88897577739858	-6.12614171002692	-4.96287445528345
Ucp2	-6.88605185297745	-5.22390140570702	-3.40345091583941	-3.40345091583941	-6.1111258523081	-4.95513899959767
Bex4	-5.93625159739434	-4.27410115012392	-2.84940076674929	-2.84940076674929	-6.10298926391915	-4.95513899959767
Zfp42	-6.41115172518588	-4.70942626726619	-3.12642584129435	-3.12642584129435	-5.99906984694487	-4.83789207971651
RNA_SPIKE_4	-6.01540161869294	-4.5115512140197	-3.04727581999576	-3.04727581999576	-5.91647207266799	-4.74587343066639
Snrpa	-7.75670208726192	-5.22390140570702	-2.96812579869717	-2.96812579869717	-5.74058645999031	-4.53736183598087
Sox2	-7.24222694882109	-5.34262643765491	-3.32430089454081	-3.32430089454081	-5.72302981301572	-4.52448244732872
