"nGene" "orig.ident" "DBclust.ident" "tree.ident"
"Hi_2338_1" 7283 "2338" 2 7
"Hi_2338_2" 6968 "2338" 2 7
"Hi_2338_3" 7229 "2338" 2 7
"Hi_2338_4" 8638 "2338" 2 7
"Hi_2338_5" 5804 "2338" 2 7
"Hi_2338_6" 8283 "2338" 2 7
"Hi_2338_7" 8111 "2338" 2 7
"Hi_2338_8" 7620 "2338" 2 7
"Hi_2338_9" 5935 "2338" 2 7
"Hi_2338_10" 6946 "2338" 2 7
"Hi_2338_11" 6289 "2338" 2 7
"Hi_2338_12" 5578 "2338" 2 7
"Hi_2338_13" 6203 "2338" 2 7
"Hi_2338_14" 6994 "2338" 2 7
"Hi_2338_15" 6077 "2338" 2 7
"Hi_2338_16" 6203 "2338" 2 7
"Hi_2338_17" 8629 "2338" 2 7
"Hi_2338_18" 5759 "2338" 2 7
"Hi_2338_19" 8299 "2338" 2 7
"Hi_2338_20" 7188 "2338" 2 7
"Hi_2338_21" 6387 "2338" 2 7
"Hi_2338_22" 5168 "2338" 2 7
"Hi_2339_1" 3975 "2339" 3 2
"Hi_2339_2" 3275 "2339" 3 2
"Hi_2339_3" 4975 "2339" 3 2
"Hi_2339_4" 5137 "2339" 3 2
"Hi_2339_5" 3972 "2339" 3 2
"Hi_2339_6" 5622 "2339" 3 2
"Hi_2339_7" 3589 "2339" 3 2
"Hi_2339_8" 4346 "2339" 3 2
"Hi_2339_9" 4733 "2339" 3 2
"Hi_2339_10" 6079 "2339" 3 2
"Hi_2339_11" 5117 "2339" 3 2
"Hi_2339_12" 4579 "2339" 3 2
"Hi_2339_13" 5364 "2339" 3 2
"Hi_2339_14" 6120 "2339" 3 2
"Hi_2339_15" 5775 "2339" 3 2
"Hi_2339_16" 6024 "2339" 3 2
"Hi_2339_17" 6018 "2339" 3 2
"Hi_K562_1" 7049 "K562" 4 4
"Hi_K562_2" 7156 "K562" 4 4
"Hi_K562_3" 7798 "K562" 4 4
"Hi_K562_4" 8421 "K562" 4 4
"Hi_K562_5" 7700 "K562" 4 4
"Hi_K562_6" 7896 "K562" 4 4
"Hi_K562_7" 7590 "K562" 4 4
"Hi_K562_8" 7644 "K562" 4 4
"Hi_K562_9" 8177 "K562" 4 4
"Hi_K562_10" 6956 "K562" 4 4
"Hi_K562_11" 7999 "K562" 4 4
"Hi_BJ_1" 6085 "BJ" 5 3
"Hi_BJ_2" 8026 "BJ" 5 3
"Hi_BJ_3" 6665 "BJ" 5 3
"Hi_BJ_4" 8343 "BJ" 5 3
"Hi_BJ_5" 8063 "BJ" 5 3
"Hi_BJ_6" 6912 "BJ" 5 3
"Hi_BJ_7" 8656 "BJ" 5 3
"Hi_BJ_8" 8024 "BJ" 5 3
"Hi_BJ_9" 7955 "BJ" 5 3
"Hi_BJ_10" 6340 "BJ" 5 3
"Hi_BJ_11" 7958 "BJ" 5 3
"Hi_BJ_12" 7205 "BJ" 5 3
"Hi_BJ_13" 7048 "BJ" 5 3
"Hi_BJ_14" 6610 "BJ" 5 3
"Hi_BJ_15" 8442 "BJ" 5 3
"Hi_BJ_16" 7108 "BJ" 5 3
"Hi_BJ_17" 7250 "BJ" 5 3
"Hi_BJ_18" 8868 "BJ" 5 3
"Hi_BJ_19" 8379 "BJ" 5 3
"Hi_BJ_20" 7179 "BJ" 5 3
"Hi_BJ_21" 7074 "BJ" 5 3
"Hi_BJ_22" 7353 "BJ" 5 3
"Hi_BJ_23" 6726 "BJ" 5 3
"Hi_BJ_24" 7045 "BJ" 5 3
"Hi_BJ_25" 7740 "BJ" 5 3
"Hi_BJ_26" 6392 "BJ" 5 3
"Hi_BJ_27" 6638 "BJ" 5 3
"Hi_BJ_28" 6028 "BJ" 5 3
"Hi_BJ_29" 6578 "BJ" 5 3
"Hi_BJ_30" 6699 "BJ" 5 3
"Hi_BJ_31" 4412 "BJ" 5 3
"Hi_BJ_32" 6617 "BJ" 5 3
"Hi_BJ_33" 6792 "BJ" 5 3
"Hi_BJ_34" 6340 "BJ" 5 3
"Hi_BJ_35" 7867 "BJ" 5 3
"Hi_BJ_36" 6541 "BJ" 5 3
"Hi_BJ_37" 7000 "BJ" 5 3
"Hi_K562_12" 8037 "K562" 4 4
"Hi_K562_13" 7946 "K562" 4 4
"Hi_K562_14" 7921 "K562" 4 4
"Hi_K562_15" 7705 "K562" 4 4
"Hi_K562_16" 8129 "K562" 4 4
"Hi_K562_17" 7691 "K562" 4 4
"Hi_K562_18" 7497 "K562" 4 4
"Hi_K562_19" 8168 "K562" 4 4
"Hi_K562_20" 7363 "K562" 4 4
"Hi_K562_21" 8272 "K562" 4 4
"Hi_K562_22" 7455 "K562" 4 4
"Hi_K562_23" 7821 "K562" 4 4
"Hi_K562_24" 7814 "K562" 4 4
"Hi_K562_25" 7696 "K562" 4 4
"Hi_K562_26" 8316 "K562" 4 4
"Hi_K562_27" 7359 "K562" 4 4
"Hi_K562_28" 7724 "K562" 4 4
"Hi_K562_29" 7671 "K562" 4 4
"Hi_K562_30" 7932 "K562" 4 4
"Hi_K562_31" 7400 "K562" 4 4
"Hi_K562_32" 7123 "K562" 4 4
"Hi_K562_33" 7532 "K562" 4 4
"Hi_K562_34" 7690 "K562" 4 4
"Hi_K562_35" 6977 "K562" 4 4
"Hi_K562_36" 7891 "K562" 4 4
"Hi_K562_37" 7530 "K562" 4 4
"Hi_K562_38" 7421 "K562" 4 4
"Hi_K562_39" 7525 "K562" 4 4
"Hi_K562_40" 7171 "K562" 4 4
"Hi_K562_41" 7581 "K562" 4 4
"Hi_K562_42" 7873 "K562" 4 4
"Hi_HL60_1" 3558 "HL60" 6 5
"Hi_HL60_2" 5762 "HL60" 6 5
"Hi_HL60_3" 5169 "HL60" 6 5
"Hi_HL60_4" 3835 "HL60" 6 5
"Hi_HL60_5" 5777 "HL60" 6 5
"Hi_HL60_6" 3707 "HL60" 6 5
"Hi_HL60_7" 5329 "HL60" 6 5
"Hi_HL60_8" 5481 "HL60" 6 5
"Hi_HL60_9" 4665 "HL60" 6 5
"Hi_HL60_10" 2291 "HL60" 6 5
"Hi_HL60_11" 5809 "HL60" 6 5
"Hi_HL60_12" 5058 "HL60" 6 5
"Hi_HL60_13" 6192 "HL60" 6 5
"Hi_HL60_14" 5161 "HL60" 6 5
"Hi_HL60_15" 6378 "HL60" 6 5
"Hi_HL60_16" 2826 "HL60" 6 5
"Hi_HL60_17" 6521 "HL60" 6 5
"Hi_HL60_18" 5328 "HL60" 6 5
"Hi_HL60_19" 5358 "HL60" 6 5
"Hi_HL60_20" 3467 "HL60" 6 5
"Hi_HL60_21" 5421 "HL60" 6 5
"Hi_HL60_22" 4754 "HL60" 6 5
"Hi_HL60_23" 4966 "HL60" 6 5
"Hi_HL60_24" 6439 "HL60" 6 5
"Hi_HL60_25" 4681 "HL60" 6 5
"Hi_HL60_26" 5940 "HL60" 6 5
"Hi_HL60_27" 4629 "HL60" 6 5
"Hi_HL60_28" 4540 "HL60" 6 5
"Hi_HL60_29" 6049 "HL60" 6 5
"Hi_HL60_30" 4224 "HL60" 6 5
"Hi_HL60_31" 5490 "HL60" 6 5
"Hi_HL60_32" 4605 "HL60" 6 5
"Hi_HL60_33" 5725 "HL60" 6 5
"Hi_HL60_34" 4955 "HL60" 6 5
"Hi_HL60_35" 6141 "HL60" 6 5
"Hi_HL60_36" 5497 "HL60" 6 5
"Hi_HL60_37" 6636 "HL60" 6 5
"Hi_HL60_38" 4922 "HL60" 6 5
"Hi_HL60_39" 5659 "HL60" 6 5
"Hi_HL60_40" 5711 "HL60" 6 5
"Hi_HL60_41" 4967 "HL60" 6 5
"Hi_HL60_42" 4704 "HL60" 6 5
"Hi_HL60_43" 5752 "HL60" 6 5
"Hi_HL60_44" 5421 "HL60" 6 5
"Hi_HL60_45" 4860 "HL60" 6 5
"Hi_HL60_46" 4539 "HL60" 6 5
"Hi_HL60_47" 4450 "HL60" 6 5
"Hi_HL60_48" 4202 "HL60" 6 5
"Hi_HL60_49" 4235 "HL60" 6 5
"Hi_HL60_50" 3931 "HL60" 6 5
"Hi_HL60_51" 4539 "HL60" 6 5
"Hi_HL60_52" 3476 "HL60" 6 5
"Hi_HL60_53" 3902 "HL60" 6 5
"Hi_HL60_54" 4468 "HL60" 6 5
"Hi_iPS_1" 6800 "iPS" 7 8
"Hi_iPS_2" 7610 "iPS" 7 8
"Hi_iPS_3" 5773 "iPS" 7 8
"Hi_iPS_4" 6436 "iPS" 7 8
"Hi_iPS_5" 6602 "iPS" 7 8
"Hi_iPS_6" 6766 "iPS" 7 8
"Hi_iPS_7" 6484 "iPS" 7 8
"Hi_iPS_8" 5514 "iPS" 7 8
"Hi_iPS_9" 4944 "iPS" 7 8
"Hi_iPS_10" 7300 "iPS" 7 8
"Hi_iPS_11" 7132 "iPS" 7 8
"Hi_iPS_12" 6444 "iPS" 7 8
"Hi_iPS_13" 7089 "iPS" 7 8
"Hi_iPS_14" 5566 "iPS" 7 8
"Hi_iPS_15" 7527 "iPS" 7 8
"Hi_iPS_16" 7259 "iPS" 7 8
"Hi_iPS_17" 6291 "iPS" 7 8
"Hi_iPS_18" 7470 "iPS" 7 8
"Hi_iPS_19" 5583 "iPS" 7 8
"Hi_iPS_20" 7282 "iPS" 7 8
"Hi_iPS_21" 6486 "iPS" 7 8
"Hi_iPS_22" 6645 "iPS" 7 8
"Hi_iPS_23" 6625 "iPS" 7 8
"Hi_iPS_24" 6583 "iPS" 7 8
"Hi_Kera_1" 6153 "Kera" 8 6
"Hi_Kera_2" 6430 "Kera" 8 6
"Hi_Kera_3" 6331 "Kera" 8 6
"Hi_Kera_4" 6141 "Kera" 8 6
"Hi_Kera_5" 6066 "Kera" 8 6
"Hi_Kera_6" 6424 "Kera" 8 6
"Hi_Kera_7" 6123 "Kera" 8 6
"Hi_Kera_8" 6939 "Kera" 8 6
"Hi_Kera_9" 5440 "Kera" 8 6
"Hi_Kera_10" 6216 "Kera" 8 6
"Hi_Kera_11" 6390 "Kera" 8 6
"Hi_Kera_12" 5780 "Kera" 8 6
"Hi_Kera_13" 6978 "Kera" 8 6
"Hi_Kera_14" 6236 "Kera" 8 6
"Hi_Kera_15" 6833 "Kera" 8 6
"Hi_Kera_16" 5166 "Kera" 8 6
"Hi_Kera_17" 5810 "Kera" 8 6
"Hi_Kera_18" 5336 "Kera" 8 6
"Hi_Kera_19" 7098 "Kera" 8 6
"Hi_Kera_20" 5196 "Kera" 8 6
"Hi_Kera_21" 5070 "Kera" 8 6
"Hi_Kera_22" 4720 "Kera" 8 6
"Hi_Kera_23" 6809 "Kera" 8 6
"Hi_Kera_24" 5482 "Kera" 8 6
"Hi_Kera_25" 6486 "Kera" 8 6
"Hi_Kera_26" 6261 "Kera" 8 6
"Hi_Kera_27" 6175 "Kera" 8 6
"Hi_Kera_28" 5734 "Kera" 8 6
"Hi_Kera_29" 4794 "Kera" 8 6
"Hi_Kera_30" 6097 "Kera" 8 6
"Hi_Kera_31" 5757 "Kera" 8 6
"Hi_Kera_32" 5856 "Kera" 8 6
"Hi_Kera_33" 5532 "Kera" 8 6
"Hi_Kera_34" 5551 "Kera" 8 6
"Hi_Kera_35" 5583 "Kera" 8 6
"Hi_Kera_36" 6108 "Kera" 8 6
"Hi_Kera_37" 5869 "Kera" 8 6
"Hi_Kera_38" 6278 "Kera" 8 6
"Hi_Kera_39" 6375 "Kera" 8 6
"Hi_Kera_40" 3992 "Kera" 8 6
"Hi_GW21.2_1" 5041 "GW21.2" 7 8
"Hi_GW21.2_2" 4569 "GW21.2" 9 9
"Hi_GW21.2_3" 4275 "GW21.2" 7 8
"Hi_GW21.2_4" 6269 "GW21.2" 7 8
"Hi_GW21.2_5" 3775 "GW21.2" 7 8
"Hi_GW21.2_6" 4212 "GW21.2" 7 8
"Hi_GW21.2_7" 4084 "GW21.2" 7 8
"Hi_GW21.2_8" 4275 "GW21.2" 7 8
"Hi_GW21.2_9" 3698 "GW21.2" 7 8
"Hi_GW21.2_10" 3796 "GW21.2" 7 8
"Hi_GW21.2_11" 5687 "GW21.2" 7 8
"Hi_GW21.2_12" 5623 "GW21.2" 7 8
"Hi_GW21.2_13" 5145 "GW21.2" 7 8
"Hi_GW21.2_14" 5814 "GW21.2" 7 8
"Hi_GW21.2_15" 7015 "GW21.2" 7 8
"Hi_GW21.2_16" 5191 "GW21.2" 7 8
"Hi_GW21_1" 2611 "GW21" 7 8
"Hi_GW21_2" 3332 "GW21" 7 8
"Hi_GW21_3" 2666 "GW21" 7 8
"Hi_GW21_4" 2338 "GW21" 9 9
"Hi_GW21_5" 3221 "GW21" 9 9
"Hi_GW21_6" 4289 "GW21" 7 8
"Hi_GW21_7" 3863 "GW21" 7 8
"Hi_GW21_8" 4263 "GW21" 9 9
"Hi_NPC_1" 4121 "NPC" 7 8
"Hi_NPC_2" 5783 "NPC" 7 8
"Hi_NPC_3" 4376 "NPC" 7 8
"Hi_NPC_4" 3880 "NPC" 7 8
"Hi_NPC_5" 4885 "NPC" 7 8
"Hi_NPC_6" 5722 "NPC" 7 8
"Hi_NPC_7" 5217 "NPC" 7 8
"Hi_NPC_8" 3891 "NPC" 7 8
"Hi_NPC_9" 4832 "NPC" 7 8
"Hi_NPC_10" 4100 "NPC" 7 8
"Hi_NPC_11" 5148 "NPC" 7 8
"Hi_NPC_12" 5381 "NPC" 7 8
"Hi_NPC_13" 3768 "NPC" 7 8
"Hi_NPC_14" 4659 "NPC" 7 8
"Hi_NPC_15" 4074 "NPC" 7 8
"Hi_GW16_1" 3663 "GW16" 7 8
"Hi_GW16_2" 3297 "GW16" 7 8
"Hi_GW16_3" 2812 "GW16" 9 9
"Hi_GW16_4" 4242 "GW16" 9 9
"Hi_GW16_5" 3466 "GW16" 7 8
"Hi_GW16_6" 5588 "GW16" 7 8
"Hi_GW16_7" 3313 "GW16" 7 8
"Hi_GW16_8" 1487 "GW16" 7 8
"Hi_GW16_9" 3164 "GW16" 1 1
"Hi_GW16_10" 3054 "GW16" 1 1
"Hi_GW16_11" 1758 "GW16" 9 9
"Hi_GW16_12" 2405 "GW16" 7 8
"Hi_GW16_13" 2861 "GW16" 9 9
"Hi_GW16_14" 3936 "GW16" 9 9
"Hi_GW16_15" 3483 "GW16" 9 9
"Hi_GW16_16" 4513 "GW16" 9 9
"Hi_GW16_17" 3681 "GW16" 9 9
"Hi_GW16_18" 4632 "GW16" 9 9
"Hi_GW16_19" 3432 "GW16" 7 8
"Hi_GW16_20" 3540 "GW16" 9 9
"Hi_GW16_21" 3447 "GW16" 7 8
"Hi_GW16_22" 3519 "GW16" 9 9
"Hi_GW16_23" 2670 "GW16" 7 8
"Hi_GW16_24" 2938 "GW16" 7 8
"Hi_GW16_25" 3863 "GW16" 9 9
"Hi_GW16_26" 3084 "GW16" 7 8
